observation_date,MANMM101JPM189S
1965-07-01,10031825672931.8008
1965-08-01,10224603733581.3008
1965-09-01,10315249376088.8008
1965-10-01,10486427304295.0000
1965-11-01,10438357645389.6016
1965-12-01,10684823896504.8984
1966-01-01,10845513899131.8008
1966-02-01,10917306246847.8008
1966-03-01,11173636142258.0996
1966-04-01,11308356043450.3008
1966-05-01,11413984436785.5000
1966-06-01,11491769884832.5000
1966-07-01,11668066919571.5996
1966-08-01,11706272934182.1992
1966-09-01,12027278370665.3008
1966-10-01,12060240422486.1992
1966-11-01,11919152852192.1992
1966-12-01,12345536969496.6992
1967-01-01,12359146301498.5000
1967-02-01,12519461735354.6992
1967-03-01,12911884950783.0996
1967-04-01,13060214183977.0996
1967-05-01,12887413124431.1992
1967-06-01,13201551466784.9004
1967-07-01,13171835677643.4004
1967-08-01,13524554603378.3984
1967-09-01,13795992105873.1992
1967-10-01,14058439957871.5000
1967-11-01,14186542477448.1992
1967-12-01,14387935619823.5996
1968-01-01,14539760828210.8008
1968-02-01,14789473342005.5020
1968-03-01,14999481566106.8008
1968-04-01,15082261264429.8008
1968-05-01,15286775813227.6016
1968-06-01,15610528087362.4980
1968-07-01,15734635206718.5020
1968-08-01,15840013887539.8008
1968-09-01,15968615832144.0996
1968-10-01,16120815609302.0000
1968-11-01,16450810696281.6992
1968-12-01,16668684864567.5977
1969-01-01,16972834706369.5000
1969-02-01,17126657614867.1016
1969-03-01,17470886315133.0996
1969-04-01,17786647788826.5000
1969-05-01,18040355702841.8984
1969-06-01,18364732258261.1992
1969-07-01,18706214120875.5000
1969-08-01,19116866349810.8984
1969-09-01,19391050689957.5000
1969-10-01,19661739054911.0000
1969-11-01,20147305037984.8008
1969-12-01,20506891057849.1992
1970-01-01,20866726790227.2969
1970-02-01,21164508962927.5000
1970-03-01,21295233463899.0977
1970-04-01,21698519173677.5000
1970-05-01,22093439514243.8008
1970-06-01,22216797496058.3984
1970-07-01,22582251759997.0000
1970-08-01,22883529907890.2969
1970-09-01,23016626677742.8984
1970-10-01,23541896950510.1016
1970-11-01,23885126800720.8984
1970-12-01,24285041391563.1016
1971-01-01,24765737980617.8984
1971-02-01,25288760840761.0000
1971-03-01,25520369197305.5000
1971-04-01,26066490464974.6016
1971-05-01,26791530748777.5000
1971-06-01,27016896292477.1992
1971-07-01,27943953999940.1016
1971-08-01,28675861377872.3984
1971-09-01,29127466459070.0977
1971-10-01,29528504756224.3984
1971-11-01,29265307766684.8008
1971-12-01,30492145346958.2031
1972-01-01,30797668607586.0000
1972-02-01,31085337423477.6016
1972-03-01,31882919192537.8008
1972-04-01,32586733912668.2031
1972-05-01,32448018611255.3008
1972-06-01,33024604805607.3008
1972-07-01,32995513297750.2031
1972-08-01,33427266234101.1992
1972-09-01,34208117264737.3008
1972-10-01,36510966066952.0938
1972-11-01,37266471277438.0000
1972-12-01,38004871180729.0000
1973-01-01,38652875154026.2031
1973-02-01,39720146437984.7969
1973-03-01,41094189545140.2031
1973-04-01,42992129506236.9141
1973-05-01,42516926592485.6016
1973-06-01,43142081870770.6016
1973-07-01,43715047233672.5938
1973-08-01,43910696988230.6953
1973-09-01,45159259557204.3047
1973-10-01,45285614089184.3984
1973-11-01,45230302767378.8984
1973-12-01,45359404137010.8047
1974-01-01,46034002493027.2031
1974-02-01,46632063963565.5078
1974-03-01,46712221680493.6016
1974-04-01,47100899208215.1016
1974-05-01,48039069122541.7969
1974-06-01,49408991973219.6016
1974-07-01,49424599005331.6953
1974-08-01,49577298207517.2031
1974-09-01,49765581442918.3984
1974-10-01,50188719297543.5078
1974-11-01,51199555553384.4922
1974-12-01,51691489205560.0938
1975-01-01,52336371772434.8984
1975-02-01,52886863009095.3984
1975-03-01,52895353234564.3984
1975-04-01,53888459901926.0000
1975-05-01,54177127567872.6016
1975-06-01,54380643266615.2969
1975-07-01,54904290408042.7969
1975-08-01,55805128301557.3047
1975-09-01,55865059304868.0000
1975-10-01,56281080352850.0000
1975-11-01,55814991945852.2031
1975-12-01,57493684319837.1016
1976-01-01,58550592534473.2031
1976-02-01,59548069170826.2031
1976-03-01,60016280134191.2031
1976-04-01,60603603966636.3984
1976-05-01,61405930273458.8047
1976-06-01,62446732030955.0859
1976-07-01,62439989793082.6953
1976-08-01,63035429282226.2031
1976-09-01,63442086110940.8984
1976-10-01,64394364782296.9922
1976-11-01,64488131831226.9141
1976-12-01,64964957876317.9062
1977-01-01,65248007010704.2031
1977-02-01,65367744161068.7969
1977-03-01,65470376004238.4062
1977-04-01,65130142704193.0859
1977-05-01,63720640420078.9141
1977-06-01,65547537171001.0000
1977-07-01,66334006733197.4062
1977-08-01,66781241845403.6953
1977-09-01,67443104863216.6016
1977-10-01,67950395834990.6016
1977-11-01,68584291051258.4062
1977-12-01,69502608820738.4922
1978-01-01,69896530311249.6016
1978-02-01,70186571396022.2031
1978-03-01,70590231674571.2969
1978-04-01,70059717439014.4922
1978-05-01,70902122604300.8906
1978-06-01,72882717407463.5938
1978-07-01,73895176794644.2969
1978-08-01,74570898856972.7969
1978-09-01,75290320609215.3906
1978-10-01,75799734137356.6094
1978-11-01,76516159339433.6094
1978-12-01,76901465748218.7969
1979-01-01,77861610363759.5000
1979-02-01,78150028317192.3906
1979-03-01,78291490456257.1094
1979-04-01,80786742750350.7031
1979-05-01,82008211511577.5000
1979-06-01,80918341245120.5000
1979-07-01,81511408465383.0156
1979-08-01,82445707835745.9062
1979-09-01,81900210849361.2969
1979-10-01,82201488997254.6094
1979-11-01,82574809205377.7031
1979-12-01,82793931936232.6094
1980-01-01,83224186597500.8906
1980-02-01,83829864299709.8906
1980-03-01,84474497154071.0156
1980-04-01,86327613718941.5000
1980-05-01,85236120321144.8906
1980-06-01,83303844889401.4062
1980-07-01,81944285108046.1094
1980-08-01,81544495373460.7969
1980-09-01,81749009922258.6094
1980-10-01,81605674939340.5000
1980-11-01,81983614828968.8125
1980-12-01,81296655703519.5000
1981-01-01,81972003197077.2969
1981-02-01,83062872313589.5000
1981-03-01,83070488545260.1875
1981-04-01,82741117739564.9844
1981-05-01,84882277689097.7969
1981-06-01,86061420179236.4062
1981-07-01,86537996511813.6094
1981-08-01,87172890578136.6094
1981-09-01,87522737809963.0156
1981-10-01,88405970971254.8906
1981-11-01,88900276892311.5000
1981-12-01,89248251280284.4062
1982-01-01,87826388226737.3906
1982-02-01,88332305779685.3906
1982-03-01,88792650798866.0000
1982-04-01,89589233717871.1094
1982-05-01,90409913894457.4062
1982-06-01,90438755689800.7031
1982-07-01,91346585533701.4062
1982-08-01,91683447714810.5000
1982-09-01,91849506536484.0000
1982-10-01,92621742485394.0938
1982-11-01,93057865390736.6094
1982-12-01,93332923724681.4062
1983-01-01,93756186435563.3906
1983-02-01,93685767506673.4062
1983-03-01,93561410674803.5938
1983-04-01,93631330178666.1094
1983-05-01,93728842915302.8906
1983-06-01,94051970908153.2969
1983-07-01,94139869713008.9844
1983-08-01,94146986519652.1875
1983-09-01,94475358475292.1875
1983-10-01,94741427158740.5000
1983-11-01,94065205671384.4062
1983-12-01,95178673770395.0156
1984-01-01,94291445208882.4062
1984-02-01,94906861699129.5000
1984-03-01,95908084023189.4062
1984-04-01,95743898045369.4062
1984-05-01,95663116047156.7969
1984-06-01,96068149744531.8125
1984-07-01,96845379943717.7969
1984-08-01,96699547835661.7031
1984-09-01,98394596379300.1875
1984-10-01,98092818806379.2969
1984-11-01,98666907875593.2969
1984-12-01,99874392736047.5938
1985-01-01,100320379285685.0000
1985-02-01,100370946069728.0000
1985-03-01,101840129644640.0000
1985-04-01,99978522854300.0000
1985-05-01,100146204807313.0000
1985-06-01,100978371759534.0000
1985-07-01,101395141945057.0000
1985-08-01,101518250214358.0000
1985-09-01,102777425565168.0000
1985-10-01,102809638479448.0000
1985-11-01,102961338831578.0000
