date,SAV,STDSL,MA
1978-02-01,241.19907643813738,451.8,692.9990764381374
1978-03-01,243.37775549583378,455.5,698.8777554958338
1978-04-01,245.8597949286525,459.5,705.3597949286525
1978-05-01,245.7549977081557,463.3,709.0549977081557
1978-06-01,246.32862459929603,470.3,716.628624599296
1978-07-01,245.84324799910033,479.1,724.9432479991003
1978-08-01,245.11518309880685,485.9,731.0151830988068
1978-09-01,245.00487023512602,493.7,738.704870235126
1978-10-01,245.09312052607072,501.2,746.2931205260707
1978-11-01,240.3165735286907,510.0,750.3165735286907
1978-12-01,236.4280450839414,521.0,757.4280450839415
1979-01-01,233.7088329942089,533.3,767.0088329942089
1979-02-01,230.55388509293715,542.9,773.4538850929371
1979-03-01,230.27810293373508,552.3,782.5781029337351
1979-04-01,230.64213538388182,563.3,793.9421353838818
1979-05-01,228.9267703536449,571.2,800.1267703536449
1979-06-01,229.17497429692676,577.6,806.7749742969268
1979-07-01,230.22294650189465,582.9,813.1229465018946
1979-08-01,229.72653861533092,589.8,819.5265386153309
1979-09-01,227.76848528499616,598.8,826.5684852849961
1979-10-01,224.31017700860212,611.1,835.4101770086022
1979-11-01,215.8546960074664,625.7,841.5546960074664
1979-12-01,212.35226258560002,634.3,846.6522625855999
1980-01-01,211.80069826719586,641.5,853.3006982671959
1980-02-01,207.55365301548386,650.6,858.1536530154839
1980-03-01,203.26248261829952,665.6,868.8624826182995
1980-04-01,197.29455669316656,686.2,883.4945566931666
1980-05-01,195.55712909019348,696.1,891.6571290901935
1980-06-01,200.5929113172234,694.8,895.3929113172234
1980-07-01,207.93974803836676,691.1,899.0397480383667
1980-08-01,211.19397751695126,688.4,899.5939775169512
1980-09-01,212.30813744012767,690.6,902.9081374401277
1980-10-01,213.89664267713167,695.7,909.5966426771317
1980-11-01,456.72283385456126,709.1,1165.8228338545614
1980-12-01,440.50132725029505,728.5,1169.0013272502952
1981-01-01,421.86396893141864,748.7,1170.5639689314187
1981-02-01,411.9358112001438,758.0,1169.9358112001437
1981-03-01,410.1211645925942,765.6,1175.7211645925943
1981-04-01,413.86628631455835,767.5,1181.3662863145582
1981-05-01,407.49571843699033,775.5,1182.9957184369903
1981-06-01,400.9872594798213,784.3,1185.2872594798214
1981-07-01,402.3110138439913,786.1,1188.4110138439914
1981-08-01,391.16941461222734,796.3,1187.4694146122274
1981-09-01,382.9235280520852,804.3,1187.2235280520852
1981-10-01,379.47625106205925,815.8,1195.2762510620591
1981-11-01,375.460862824077,820.6,1196.060862824077
1981-12-01,376.08413050387367,823.1,1199.1841305038738
1982-01-01,381.2136786650323,824.7,1205.9136786650324
1982-02-01,379.0901560391763,833.1,1212.1901560391764
1982-03-01,379.3659381983784,844.0,1223.3659381983784
1982-04-01,382.8407934043246,853.2,1236.0407934043246
1982-05-01,381.10888144453554,860.5,1241.6088814445357
1982-06-01,381.8755558471173,865.4,1247.2755558471172
1982-07-01,382.12375979039916,873.9,1256.0237597903993
1982-08-01,379.3438756256422,876.3,1255.643875625642
1982-09-01,380.33117575558566,877.6,1257.9311757555856
1982-10-01,389.92839489581803,870.3,1260.228394895818
1982-11-01,396.2217437688094,866.8,1263.0217437688093
1982-12-01,428.5930536159493,850.9,1279.4930536159493
1983-01-01,566.2800544191787,794.8,1361.0800544191786
1983-02-01,662.2081206760295,755.0,1417.2081206760295
1983-03-01,706.1953750687609,736.6,1442.795375068761
1983-04-01,729.692015032778,731.9,1461.592015032778
1983-05-01,747.3917140103673,726.6,1473.9917140103673
1983-06-01,761.3518069091765,726.0,1487.3518069091765
1983-07-01,764.1096285011973,733.6,1497.7096285011974
1983-08-01,757.9376237782549,742.0,1499.9376237782549
1983-09-01,754.0711579062418,750.3,1504.3711579062417
1983-10-01,754.8929887406638,763.2,1518.0929887406637
1983-11-01,752.7198253261515,776.0,1528.7198253261515
1983-12-01,752.52677781471,784.1,1536.62677781471
1984-01-01,756.6579945595571,793.3,1549.957994559557
1984-02-01,761.3793851250969,802.2,1563.579385125097
1984-03-01,770.3423052991643,807.6,1577.9423052991642
1984-04-01,777.4409380770257,813.8,1591.2409380770257
1984-05-01,774.7823980623177,822.0,1596.7823980623177
1984-06-01,773.9274733687913,832.1,1606.0274733687913
1984-07-01,768.5938464098232,843.2,1611.7938464098233
1984-08-01,756.635931986821,857.6,1614.235931986821
1984-09-01,752.8301381898324,868.8,1621.6301381898325
1984-10-01,754.5620501496214,878.1,1632.6620501496213
1984-11-01,762.6479830574264,884.4,1647.0479830574263
1984-12-01,773.7344258573498,888.8,1662.5344258573498
1985-01-01,794.9696521159099,888.0,1682.9696521159099
1985-02-01,809.8067322809817,884.7,1694.5067322809819
1985-03-01,822.6306026838784,883.9,1706.5306026838784
1985-04-01,828.1186676519997,886.1,1714.2186676519996
1985-05-01,832.3381346877914,890.0,1722.3381346877914
1985-06-01,847.6992009553472,891.7,1739.3992009553472
1985-07-01,862.0509045202233,888.8,1750.8509045202231
1985-08-01,871.6095141581674,884.0,1755.6095141581673
1985-09-01,877.0313914080801,882.3,1759.33139140808
1985-10-01,887.1636279371645,881.8,1768.9636279371643
1985-11-01,893.8927126216953,881.9,1775.7927126216953
1985-12-01,896.4464554159065,885.7,1782.1464554159065
1986-01-01,903.0762585231244,889.7,1792.7762585231244
1986-02-01,902.4143813410394,891.7,1794.1143813410395
1986-03-01,910.9636282763038,895.0,1805.9636282763038
1986-04-01,923.318669008557,895.6,1818.9186690085571
1986-05-01,934.1844860811188,891.7,1825.884486081119
1986-06-01,953.059017056909,887.0,1840.059017056909
1986-07-01,968.8227252768997,884.8,1853.6227252768997
1986-08-01,979.4403384061798,881.2,1860.6403384061798
1986-09-01,992.3965842454935,877.6,1869.9965842454935
1986-10-01,1012.0377896238655,869.9,1881.9377896238655
1986-11-01,1024.3100957083577,861.8,1886.1100957083577
1986-12-01,1034.3595975896817,858.4,1892.7595975896816
1987-01-01,1050.4266661847946,855.9,1906.3266661847947
1987-02-01,1053.79120852706,852.2,1905.99120852706
1987-03-01,1064.5853222382293,850.1,1914.6853222382292
1987-04-01,1073.2062725348862,847.9,1921.106272534886
1987-05-01,1069.2901658742169,847.4,1916.6901658742167
1987-06-01,1071.7556583774833,853.9,1925.6556583774832
1987-07-01,1070.6139202383868,862.2,1932.8139202383868
1987-08-01,1063.4160058832126,870.0,1933.4160058832126
1987-09-01,1058.0658319946922,877.8,1935.8658319946921
